year,y,y_pre
2010/8/2,10.76,10.38269901
2010/8/3,10.62,10.40587139
2010/8/4,10.68,10.41609097
2010/8/5,10.55,10.40138912
2010/8/6,10.67,10.37270355
2010/8/9,10.69,10.35066319
2010/8/10,10.41,10.35551071
2010/8/11,10.39,10.3315897
2010/8/12,10.26,10.26106644
2010/8/13,10.32,10.18943501
2010/8/16,10.46,10.12497616
2010/8/17,10.43,10.09852314
2010/8/18,10.39,10.11480618
2010/8/19,10.58,10.12009907
2010/8/20,10.42,10.1941061
2010/8/23,10.35,10.21423531
2010/8/24,10.37,10.17529202
2010/8/25,10.23,10.13771343
2010/8/26,10.24,10.09360027
2010/8/27,10.31,10.05405903
2010/8/30,10.35,10.03658772
2010/8/31,10.28,10.04637623
2010/9/1,10.23,10.0401125
2010/9/2,10.31,10.0343504
2010/9/3,10.24,10.03847408
2010/9/6,10.39,10.02989674
2010/9/7,10.35,10.05217075
2010/9/8,10.29,10.06775284
2010/9/9,10.19,10.06639862
2010/9/10,10.18,10.04784966
2010/9/13,10.27,10.01197147
2010/9/14,10.25,9.996294975
2010/9/15,10.2,9.984154701
2010/9/17,9.98,9.973296165
2010/9/20,9.98,9.920905113
2010/9/21,9.99,9.869753838
2010/9/27,9.99,9.819304466
2010/9/28,9.94,9.783617973
2010/9/29,10.05,9.751519203
2010/9/30,10.18,9.766860962
2010/10/8,10.47,9.81535244
2010/10/11,10.78,9.931908607
2010/10/12,11.15,10.14730072
2010/10/13,11.02,10.40391636
2010/10/14,11.34,10.57881451
2010/10/15,11.55,10.7779665
2010/10/18,11.4,10.96855831
2010/10/19,11.44,11.13070965
2010/10/20,11.26,11.1218605
2010/10/21,11.26,11.04151249
2010/10/22,11.12,11.00770664
2010/10/25,11.45,10.94015312
2010/10/26,11.56,10.97319317
2010/10/27,11.32,11.21598148
2010/10/28,11.29,11.186656
2010/10/29,11.19,11.06057835
2010/11/1,11.39,10.98390484
2010/11/2,11.4,10.99498177
2010/11/3,11.47,11.09524918
2010/11/4,11.89,11.15173817
2010/11/5,11.99,11.32266617
2010/11/8,12.14,11.56557083
2010/11/9,11.82,11.73250866
2010/11/10,11.83,11.69726086
2010/11/11,12.74,11.6066246
2010/11/12,12.54,11.94322205
2010/11/15,12.38,12.36728668
2010/11/16,11.57,12.21129131
2010/11/17,11.35,11.77621365
2010/11/18,11.39,11.31742573
2010/11/19,11.28,11.13008404
2010/11/22,11.18,11.07786846
2010/11/23,10.86,10.96832657
2010/11/24,10.95,10.84825516
2010/11/25,11.18,10.74441624
2010/11/26,10.98,10.7618618
2010/11/29,10.97,10.76664352
2010/11/30,11.07,10.70445919
2010/12/1,10.97,10.75177288
2010/12/2,11.1,10.71399403
2010/12/3,11.24,10.75220394
2010/12/6,11.77,10.81982422
2010/12/7,11.78,11.04920769
2010/12/8,11.56,11.21790695
2010/12/9,11.38,11.25901985
2010/12/10,11.45,11.22875309
2010/12/13,11.95,11.17606258
2010/12/14,11.82,11.33071423
2010/12/15,11.71,11.43804073
2010/12/16,11.69,11.44860268
2010/12/17,11.56,11.44621372
2010/12/20,11.31,11.40054417
2010/12/21,11.52,11.30176353
2010/12/22,11.44,11.22745419
2010/12/23,11.4,11.23938274
2010/12/24,11.42,11.18384647
2010/12/27,11.16,11.13878536
2010/12/28,11.07,11.10484028
2010/12/29,11.07,10.98401165
2010/12/30,11.15,10.8913269
2010/12/31,11.22,10.83219814
2011/1/4,11.39,10.82830143
2011/1/5,11.24,10.91271305
2011/1/6,11.14,10.94487667
2011/1/7,11.18,10.92028046
2011/1/10,11.11,10.91291428
2011/1/11,11.23,10.89701557
2011/1/12,11.24,10.89430904
2011/1/13,11.39,10.9131918
2011/1/14,11.42,10.99034882
2011/1/17,11.4,11.03965855
2011/1/18,11.24,11.10604191
2011/1/19,11.37,11.05407143
2011/1/20,11.02,11.01776695
2011/1/21,11.12,10.96590137
2011/1/24,11.28,10.88406086
2011/1/25,11.19,10.90948296
2011/1/26,11.22,10.90588188
2011/1/27,11.36,10.88138294
2011/1/28,11.28,10.94046021
2011/1/31,11.42,10.96883297
2011/2/1,11.68,11.03155041
2011/2/9,11.46,11.18741035
2011/2/10,11.53,11.2205925
2011/2/11,11.45,11.20008183
2011/2/14,11.68,11.20158195
2011/2/15,11.71,11.2920475
2011/2/16,11.7,11.40438175
2011/2/17,11.69,11.38143444
2011/2/18,11.58,11.37599659
2011/2/21,11.71,11.35271454
2011/2/22,11.59,11.41235733
2011/2/23,11.45,11.52537155
2011/2/24,11.53,11.38662052
2011/2/25,11.41,11.28720284
2011/2/28,11.41,11.17909336
2011/3/1,11.45,11.13422298
2011/3/2,11.49,11.1460762
2011/3/3,11.65,11.17474747
