id,Date,Code,Close,Highest,Lowest,Open,Volume
1,2013-09-18,'000333,42.24,46.4,39.88,40.5,38889754
2,2013-09-23,'000333,46.2,46.46,40.67,41.9,31851606
3,2013-09-24,'000333,44.61,46.15,44.4,45.49,20004514
4,2013-09-25,'000333,45.05,47.14,44.0,44.01,17165136
5,2013-09-26,'000333,43.0,45.07,42.45,44.65,14680801
6,2013-09-27,'000333,43.0,44.3,42.67,43.0,8561465
7,2013-09-30,'000333,43.24,43.8,42.88,42.99,7668272
8,2013-10-08,'000333,44.99,45.21,42.9,43.0,11112977
9,2013-10-09,'000333,44.68,45.54,44.0,44.65,8305418
10,2013-10-10,'000333,45.71,46.36,44.14,44.5,15625661
11,2013-10-11,'000333,45.53,46.05,45.25,46.0,7969766
12,2013-10-14,'000333,46.0,46.33,44.6,45.52,9646785
13,2013-10-15,'000333,45.15,46.0,44.85,46.0,9241988
14,2013-10-16,'000333,44.67,45.88,43.7,44.76,8918362
15,2013-10-17,'000333,44.61,45.1,44.22,44.68,5552669
16,2013-10-18,'000333,46.01,46.8,44.3,44.52,10420989
17,2013-10-21,'000333,47.85,48.1,45.68,46.2,13565868
18,2013-10-22,'000333,47.42,48.31,46.88,47.4,8214741
19,2013-10-23,'000333,46.09,48.43,45.9,47.47,8729030
20,2013-10-24,'000333,47.5,49.6,45.84,46.0,12218451
21,2013-10-25,'000333,47.7,48.85,47.11,47.43,10233626
22,2013-10-28,'000333,49.47,49.5,47.5,47.97,10446741
23,2013-10-29,'000333,48.93,49.68,48.01,49.1,9652552
24,2013-10-30,'000333,50.17,50.66,48.65,49.01,12128524
25,2013-10-31,'000333,48.4,50.8,47.93,50.68,10073288
26,2013-11-01,'000333,47.76,48.79,47.33,47.79,7205717
27,2013-11-04,'000333,47.99,48.5,47.6,47.6,4962214
28,2013-11-05,'000333,48.19,48.41,47.08,47.52,5475095
29,2013-11-06,'000333,46.75,48.23,46.21,47.98,6025131
30,2013-11-07,'000333,46.22,46.93,45.16,46.52,6205677
31,2013-11-08,'000333,45.66,46.2,45.33,45.8,3341133
32,2013-11-11,'000333,45.78,46.0,44.61,45.69,3580989
33,2013-11-12,'000333,46.35,47.02,45.5,45.88,6472993
34,2013-11-13,'000333,45.5,46.34,45.5,45.86,3048409
35,2013-11-14,'000333,46.0,46.32,44.67,45.55,5436007
36,2013-11-15,'000333,46.2,47.06,45.61,45.87,6421521
37,2013-11-18,'000333,46.89,47.08,46.1,46.35,4983041
38,2013-11-19,'000333,46.97,47.5,46.51,46.88,5316174
39,2013-11-20,'000333,46.68,47.48,46.41,47.48,4172673
40,2013-11-21,'000333,45.71,46.7,45.05,46.7,6602904
